[11:18:04,248] [INFO] ServerMain.main --> 服务器启动成功
[12:17:48,731] [INFO] GameMsgRecognizer.init --> 9 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,731] [INFO] GameMsgRecognizer.init --> 10 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,731] [INFO] GameMsgRecognizer.init --> 11 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:17:48,732] [INFO] GameMsgRecognizer.init --> 12 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,897] [INFO] GameMsgRecognizer.init --> 0 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,914] [INFO] GameMsgRecognizer.init --> 1 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,914] [INFO] GameMsgRecognizer.init --> 2 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,914] [INFO] GameMsgRecognizer.init --> 3 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,914] [INFO] GameMsgRecognizer.init --> 4 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,915] [INFO] GameMsgRecognizer.init --> 5 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,916] [INFO] GameMsgRecognizer.init --> 6 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,916] [INFO] GameMsgRecognizer.init --> 7 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,916] [INFO] GameMsgRecognizer.init --> 8 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,917] [INFO] GameMsgRecognizer.init --> 9 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,917] [INFO] GameMsgRecognizer.init --> 10 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,917] [INFO] GameMsgRecognizer.init --> 11 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:25,917] [INFO] GameMsgRecognizer.init --> 12 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:19:55,115] [INFO] ServerMain.main --> 服务器启动成功
[12:21:50,085] [INFO] GameMsgRecognizer.init --> 12 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:21:50,104] [INFO] GameMsgRecognizer.init --> 11 <====> org.hero.msg.GameMsgProtocol$UserSubtractHpResult
[12:21:50,116] [INFO] GameMsgRecognizer.init --> 10 <====> org.hero.msg.GameMsgProtocol$UserAttkResult
[12:21:50,130] [INFO] GameMsgRecognizer.init --> 9 <====> org.hero.msg.GameMsgProtocol$UserAttkCmd
[12:21:50,140] [INFO] GameMsgRecognizer.init --> 8 <====> org.hero.msg.GameMsgProtocol$UserStopResult
[12:21:50,152] [INFO] GameMsgRecognizer.init --> 7 <====> org.hero.msg.GameMsgProtocol$UserStopCmd
[12:21:50,163] [INFO] GameMsgRecognizer.init --> 6 <====> org.hero.msg.GameMsgProtocol$UserQuitResult
[12:21:50,173] [INFO] GameMsgRecognizer.init --> 5 <====> org.hero.msg.GameMsgProtocol$UserMoveToResult
[12:21:50,175] [INFO] GameMsgRecognizer.init --> 4 <====> org.hero.msg.GameMsgProtocol$UserMoveToCmd
[12:21:50,176] [INFO] GameMsgRecognizer.init --> 3 <====> org.hero.msg.GameMsgProtocol$WhoElseIsHereResult
[12:21:50,178] [INFO] GameMsgRecognizer.init --> 2 <====> org.hero.msg.GameMsgProtocol$WhoElseIsHereCmd
[12:21:50,180] [INFO] GameMsgRecognizer.init --> 1 <====> org.hero.msg.GameMsgProtocol$UserEntryResult
[12:21:50,181] [INFO] GameMsgRecognizer.init --> 0 <====> org.hero.msg.GameMsgProtocol$UserEntryCmd
[12:21:51,061] [INFO] ServerMain.main --> 服务器启动成功
[12:22:19,701] [INFO] GameMsgRecognizer.init --> 0 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,721] [INFO] GameMsgRecognizer.init --> 1 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,722] [INFO] GameMsgRecognizer.init --> 2 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,722] [INFO] GameMsgRecognizer.init --> 3 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,722] [INFO] GameMsgRecognizer.init --> 4 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,722] [INFO] GameMsgRecognizer.init --> 5 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,725] [INFO] GameMsgRecognizer.init --> 6 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,725] [INFO] GameMsgRecognizer.init --> 7 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,725] [INFO] GameMsgRecognizer.init --> 8 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,725] [INFO] GameMsgRecognizer.init --> 9 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,726] [INFO] GameMsgRecognizer.init --> 10 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,726] [INFO] GameMsgRecognizer.init --> 11 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:19,726] [INFO] GameMsgRecognizer.init --> 12 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:36,639] [INFO] GameMsgRecognizer.init --> 12 <====> org.hero.msg.GameMsgProtocol$UserDieResult
[12:22:36,660] [INFO] GameMsgRecognizer.init --> 11 <====> org.hero.msg.GameMsgProtocol$UserSubtractHpResult
[12:22:36,662] [INFO] GameMsgRecognizer.init --> 10 <====> org.hero.msg.GameMsgProtocol$UserAttkResult
[12:22:36,663] [INFO] GameMsgRecognizer.init --> 9 <====> org.hero.msg.GameMsgProtocol$UserAttkCmd
[12:22:36,665] [INFO] GameMsgRecognizer.init --> 8 <====> org.hero.msg.GameMsgProtocol$UserStopResult
[12:22:36,667] [INFO] GameMsgRecognizer.init --> 7 <====> org.hero.msg.GameMsgProtocol$UserStopCmd
[12:22:36,671] [INFO] GameMsgRecognizer.init --> 6 <====> org.hero.msg.GameMsgProtocol$UserQuitResult
[12:22:36,672] [INFO] GameMsgRecognizer.init --> 5 <====> org.hero.msg.GameMsgProtocol$UserMoveToResult
[12:22:36,673] [INFO] GameMsgRecognizer.init --> 4 <====> org.hero.msg.GameMsgProtocol$UserMoveToCmd
[12:22:36,675] [INFO] GameMsgRecognizer.init --> 3 <====> org.hero.msg.GameMsgProtocol$WhoElseIsHereResult
[12:22:36,677] [INFO] GameMsgRecognizer.init --> 2 <====> org.hero.msg.GameMsgProtocol$WhoElseIsHereCmd
[12:22:36,679] [INFO] GameMsgRecognizer.init --> 1 <====> org.hero.msg.GameMsgProtocol$UserEntryResult
[12:22:36,682] [INFO] GameMsgRecognizer.init --> 0 <====> org.hero.msg.GameMsgProtocol$UserEntryCmd
[12:22:37,583] [INFO] ServerMain.main --> 服务器启动成功
